action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000391_playing accordion_to_canoeing or kayaking_vHLLAEj3Cl8_000000_000010_bg_kaFzwyb3Cu0_000171_000181,playing accordion,canoeing or kayaking,playing accordion,climbing ladder,canoeing or kayaking,tying tie,playing saxophone,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000392_playing accordion_to_deadlifting_GqIVXd-dtis_000065_000075_bg_8LHvdxSF9Ek_000004_000014,playing accordion,deadlifting,sword fighting,brushing teeth,playing guitar,playing accordion,deadlifting,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000393_juggling soccer ball_to_playing basketball_b4qCiigUelQ_000016_000026_bg_sEN_lFB9QGk_000009_000019,juggling soccer ball,playing basketball,playing basketball,climbing ladder,skiing (not slalom or crosscountry),playing trumpet,juggling soccer ball,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000394_climbing a rope_to_brushing hair_u4Rm6srmIS8_000019_000029_bg_6JO9EwAZ7Y0_000023_000033,climbing a rope,brushing hair,opening bottle,brushing hair,juggling balls,climbing a rope,playing tennis,4,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000395_brushing teeth_to_driving car_LO0HKBkTsFA_000037_000047_bg_ewrjLjfshtM_000054_000064,brushing teeth,driving car,playing violin,playing bass guitar,playing trumpet,driving car,brushing teeth,5,4,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000396_playing saxophone_to_dribbling basketball_gV7ca6oVY3Y_000004_000014_bg_dzfk3y6_e3A_000010_000020,playing saxophone,dribbling basketball,eating ice cream,archery,dribbling basketball,playing saxophone,smoking,4,3,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000397_playing saxophone_to_playing violin_tAQ57N-P4Uc_000021_000031_bg_WXt6Xqc9st0_000011_000021,playing saxophone,playing violin,sweeping floor,playing saxophone,playing violin,playing trumpet,driving car,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000398_playing bass guitar_to_hitting baseball_vxWLw9EV9Fo_000139_000149_bg_hz-SpF35_BE_000111_000121,playing bass guitar,hitting baseball,hitting baseball,hurdling,playing bass guitar,climbing a rope,tying tie,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000399_playing volleyball_to_bowling_C4RXDYobmfA_000015_000025_bg_EYKcpyWRtyY_000000_000010,playing volleyball,bowling,tying tie,playing volleyball,bowling,flying kite,canoeing or kayaking,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000400_canoeing or kayaking_to_brushing hair_P5mVA36sLAw_000069_000079_bg_9Y4VWs9AlFA_000582_000592,canoeing or kayaking,brushing hair,canoeing or kayaking,sword fighting,playing volleyball,brushing hair,skipping rope,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000401_clean and jerk_to_catching or throwing baseball_yPiezvupRcs_000009_000019_bg_g_G95YHhhu8_000011_000021,clean and jerk,catching or throwing baseball,surfing water,catching or throwing baseball,clean and jerk,catching or throwing frisbee,playing tennis,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000402_playing accordion_to_golf driving_nrF8FOuvACg_000127_000137_bg_CyqWCmRAEpE_000024_000034,playing accordion,golf driving,climbing a rope,golf driving,playing basketball,sweeping floor,playing accordion,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000403_playing bass guitar_to_playing trumpet_LCctuZzHcv8_000037_000047_bg_ZATfwKJ725E_000105_000115,playing bass guitar,playing trumpet,playing accordion,playing bass guitar,playing trumpet,golf driving,hitting baseball,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000404_punching person (boxing)_to_deadlifting_EzVsl4ZXUl8_000146_000156_bg_zplKZpwToWc_000000_000010,punching person (boxing),deadlifting,eating cake,punching person (boxing),deadlifting,tying tie,playing guitar,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000405_shooting basketball_to_deadlifting_OTbNyKzKBM4_000024_000034_bg_zvK8RSHR4YU_000013_000023,shooting basketball,deadlifting,shooting basketball,deadlifting,punching person (boxing),catching or throwing frisbee,tying tie,1,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000406_climbing ladder_to_bowling_RXTooz-pBzY_000004_000014_bg_4JxH3S5JwMs_000003_000013,climbing ladder,bowling,playing saxophone,bowling,skiing slalom,climbing ladder,brushing hair,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000407_archery_to_playing bass guitar_k-BFTm62viE_000002_000012_bg_yhg-IlXcVrE_000111_000121,archery,playing bass guitar,playing bass guitar,driving car,archery,clean and jerk,playing guitar,3,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000408_eating cake_to_canoeing or kayaking_X4Pj7_V1zBA_000216_000226_bg_FqCVQSDxOSs_000773_000783,eating cake,canoeing or kayaking,playing trumpet,archery,eating cake,canoeing or kayaking,reading newspaper,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000409_deadlifting_to_punching person (boxing)_oyN6ldlYUD8_000032_000042_bg_Cs-CfeLNspE_000126_000136,deadlifting,punching person (boxing),eating cake,writing,skipping rope,deadlifting,punching person (boxing),4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000410_shooting goal (soccer)_to_drinking_1anZ-z6XnlU_000005_000015_bg_ecFPS0Ayhh0_000044_000054,shooting goal (soccer),drinking,eating cake,skipping rope,drinking,shooting goal (soccer),shooting basketball,4,3,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000411_playing trumpet_to_juggling balls_3f9VlqbXH2I_000114_000124_bg_Ag0HsiBioRI_000042_000052,playing trumpet,juggling balls,flying kite,playing trumpet,sword fighting,juggling balls,hurdling,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000412_clean and jerk_to_surfing water_7mRMQ-Ao1NE_000019_000029_bg_jDTfMSxMSjQ_000112_000122,clean and jerk,surfing water,clean and jerk,surfing water,playing guitar,punching person (boxing),eating cake,1,2,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000413_climbing ladder_to_playing tennis_lJKMnpXzkWk_000004_000014_bg_rZehb8BQwc4_000034_000044,climbing ladder,playing tennis,climbing ladder,catching or throwing baseball,canoeing or kayaking,playing tennis,shooting basketball,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000414_dribbling basketball_to_canoeing or kayaking_wCTJ9bKn_sI_000180_000190_bg_YLuft2I6YYc_000092_000102,dribbling basketball,canoeing or kayaking,drinking,canoeing or kayaking,dribbling basketball,shooting goal (soccer),climbing a rope,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000415_playing guitar_to_walking the dog_2gBacDt9k0Y_000026_000036_bg_dtLHwWANdAo_000045_000055,playing guitar,walking the dog,playing guitar,skiing (not slalom or crosscountry),dunking basketball,walking the dog,eating cake,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000416_hitting baseball_to_dunking basketball_Atzrde5uGcM_000001_000011_bg_qeDi7i1XXhM_000068_000078,hitting baseball,dunking basketball,driving car,juggling soccer ball,walking the dog,dunking basketball,hitting baseball,5,4,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000417_playing saxophone_to_skiing (not slalom or crosscountry)_osE7Tz4k_gc_000197_000207_bg_-P56BlJO-gw_000051_000061,playing saxophone,skiing (not slalom or crosscountry),playing saxophone,playing tennis,bowling,skiing (not slalom or crosscountry),juggling balls,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000418_shooting basketball_to_dunking basketball_11OkSd-ln9c_000493_000503_bg_S5b7-MnHens_000003_000013,shooting basketball,dunking basketball,shooting basketball,cleaning windows,playing tennis,dunking basketball,playing basketball,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000419_catching or throwing frisbee_to_punching person (boxing)_5w7-2_KAP2k_000006_000016_bg_YGyUq_eiXO4_000097_000107,catching or throwing frisbee,punching person (boxing),walking the dog,catching or throwing frisbee,playing bass guitar,skipping rope,punching person (boxing),2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000420_skiing slalom_to_surfing water_4p4eqetk4R8_000045_000055_bg_CZtMKdIWUdM_000775_000785,skiing slalom,surfing water,skiing slalom,surfing water,playing volleyball,shooting goal (soccer),playing piano,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000421_skiing (not slalom or crosscountry)_to_walking the dog_fW9vBYCWHNA_000055_000065_bg_-dMaV5Il324_000005_000015,skiing (not slalom or crosscountry),walking the dog,walking the dog,playing violin,playing saxophone,skiing (not slalom or crosscountry),driving car,4,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000422_climbing ladder_to_writing_hRd8KYvz87o_000032_000042_bg_upsu2XoqoFM_000053_000063,climbing ladder,writing,skiing (not slalom or crosscountry),writing,playing bass guitar,climbing ladder,archery,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000423_playing accordion_to_writing_fK4kD8fXswE_000037_000047_bg_puP8W1zcQx0_000194_000204,playing accordion,writing,skiing (not slalom or crosscountry),canoeing or kayaking,writing,skiing slalom,playing accordion,5,3,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000424_playing saxophone_to_writing_tAQ57N-P4Uc_000021_000031_bg_RYsaQFpGX54_000091_000101,playing saxophone,writing,playing saxophone,dribbling basketball,dunking basketball,writing,reading newspaper,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000425_deadlifting_to_playing bass guitar_tAlGxratIzc_000000_000010_bg_3AKiMufDtCI_000060_000070,deadlifting,playing bass guitar,cleaning windows,deadlifting,playing volleyball,playing bass guitar,playing tennis,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000426_playing guitar_to_juggling soccer ball_TdtqFhru4mA_000060_000070_bg_cVCLApgzN58_000009_000019,playing guitar,juggling soccer ball,juggling soccer ball,playing piano,clean and jerk,playing guitar,brushing hair,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000427_brushing teeth_to_cleaning windows_0tlGOxUQ0Kw_000074_000084_bg_jIwEkMWm-mQ_000009_000019,brushing teeth,cleaning windows,brushing teeth,skiing (not slalom or crosscountry),juggling soccer ball,cleaning windows,eating cake,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000428_bowling_to_walking the dog_-WH-lxmGJVY_000005_000015_bg_2Hbz_qxG3qk_000026_000036,bowling,walking the dog,deadlifting,bowling,walking the dog,brushing hair,playing piano,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000429_playing volleyball_to_punching person (boxing)_oiwb5wDaotw_000175_000185_bg_JosqyNGpXfs_000208_000218,playing volleyball,punching person (boxing),eating cake,playing saxophone,punching person (boxing),golf driving,playing volleyball,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000430_eating cake_to_dunking basketball_wc32cPpKuko_000175_000185_bg_cPW9N51RMf0_000018_000028,eating cake,dunking basketball,archery,eating cake,playing bass guitar,hurdling,dunking basketball,2,5,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000431_skiing slalom_to_dribbling basketball_6QcRPmZZVz4_000158_000168_bg_pPEFj7kY6wc_000548_000558,skiing slalom,dribbling basketball,skiing (not slalom or crosscountry),skiing slalom,canoeing or kayaking,dribbling basketball,juggling balls,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000432_playing volleyball_to_playing bass guitar_1_PaDQZHFok_000003_000013_bg_1nho7QEZT84_000189_000199,playing volleyball,playing bass guitar,playing bass guitar,catching or throwing frisbee,playing volleyball,climbing ladder,hitting baseball,3,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000433_playing bass guitar_to_shooting basketball_ov6yRY31WNs_000113_000123_bg_JD2StAKahio_000000_000010,playing bass guitar,shooting basketball,shooting basketball,canoeing or kayaking,surfing water,playing bass guitar,playing trumpet,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000434_archery_to_bowling_hIgj5icZe7M_000133_000143_bg_v_j37nEGZMA_000009_000019,archery,bowling,bowling,clean and jerk,flying kite,golf driving,archery,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000435_eating cake_to_tying tie_BiuX8Y2JfKY_000006_000016_bg_xFMIqMgGSGM_000068_000078,eating cake,tying tie,reading book,driving car,tying tie,eating cake,skiing (not slalom or crosscountry),4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000436_brushing teeth_to_bowling_X9rCMmJm4KA_000060_000070_bg_EYKcpyWRtyY_000000_000010,brushing teeth,bowling,brushing teeth,bowling,reading newspaper,sword fighting,skiing (not slalom or crosscountry),1,2,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000437_playing tennis_to_drinking_5DleTJAks5E_000317_000327_bg_gaj407eSdSs_000000_000010,playing tennis,drinking,drinking,playing tennis,juggling soccer ball,brushing hair,playing trumpet,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000438_dribbling basketball_to_skipping rope_wdrRBrKBycc_000434_000444_bg_GUWR5TyiY-M_000012_000022,dribbling basketball,skipping rope,skipping rope,golf driving,playing tennis,dribbling basketball,eating cake,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000439_hitting baseball_to_playing piano_V_whuvMjg_8_000004_000014_bg_h6A4REQB02U_000028_000038,hitting baseball,playing piano,flying kite,playing piano,brushing hair,hitting baseball,eating cake,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000440_deadlifting_to_bowling_f8AhC-LGp5w_000006_000016_bg_MKv1mkOcom8_000000_000010,deadlifting,bowling,bowling,deadlifting,climbing a rope,dribbling basketball,archery,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000441_eating cake_to_playing accordion_9GTJPntb_wo_000008_000018_bg_bei0Be7pJQA_000032_000042,eating cake,playing accordion,surfing water,eating cake,playing trumpet,cleaning windows,playing accordion,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000442_clean and jerk_to_skipping rope_CD_GR-Q-f5E_000027_000037_bg_VnDRckszp7c_000006_000016,clean and jerk,skipping rope,writing,archery,clean and jerk,skipping rope,juggling balls,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000443_playing accordion_to_reading book_hDeDDXismDU_000006_000016_bg_o6dIjv5pOKc_000004_000014,playing accordion,reading book,brushing teeth,hitting baseball,reading book,playing accordion,playing volleyball,4,3,C,False,True
